tr_type;tr_description
3200;Плата за предоставление услуг посредством мобильной связи
3210;Плата за предоставление отчета по счету карты почтой
3800;Плата за обслуживание банковской карты (за первый год)
4000;Плата за получение наличных в Сбербанке
4001;Плата за получение наличных в Сбербанке (в других ТБ)
4010;Плата за получение наличных в АТМ Сбербанка
4011;Плата за получение наличных в АТМ Сбербанка (в других ТБ)
4020;Плата за получение наличных через POS в Сбербанке
4021;Плата за получение наличных через POS в Сбербанке (в других ТБ)
4030;Плата за взнос наличных через АТМ (в своем тер.банке)
4031;Плата за взнос наличных через АТМ (в другом тер.банке)
4040;Плата за взнос наличных через POS (в своем тер.банке)
4041;Плата за взнос наличных через POS (в другом тер.банке)
4050;Плата за перевод на карту (с карты) через АТМ (в пределах одного тер.банка)
4051;Плата за перевод на карту (с карты) через АТМ (из одного ТБ в другой ТБ)
4052;Плата за перевод на карту (с карты) через АТМ (в пределах одного филиала)
4060;Плата за перевод на карту (с карты) через POS (в пределах одного тер.банка)
4061;Плата за перевод на карту (с карты) через POS (из одного ТБ в другой ТБ)
4062;Плата за перевод на карту (с карты) через POS (в пределах одного филиала)
4071;Плата за перевод на карту (с карты) через Мобильный банк
4080;Оплата услуг банка через ВСП
4081;Оплата услуг банка через АТМ
4082;Оплата услуг банка через Сбербанк ОнЛ@йн
4083;Оплата услуг банка по поручению автомат.
4100;Плата за получение наличных. Россия
4110;Плата за получение наличных в АТМ. Россия
4200;Плата за получение наличных. Зарубеж.
4210;Плата за получение наличных в АТМ. Зарубеж.
4400;Плата за получение баланса в чужом АТМ
4440;Плата за получение через АТМ выписки о 10 последних операциях по карте
4500;Плата за превыш.лимита
5110;Списание % за овердрафт
6000;Возврат  покупки. ТУ СБ РФ
6010;Возврат  покупки. POS ТУ СБ РФ
6100;Возврат  покупки. ТУ Россия
6110;Возврат покупки. POS ТУ Россия
6200;Возврат  покупки. Зарубеж. ТУ
6210;Возврат покупки.POS Зарубеж. ТУ
7000;Пополнение счета в подразд. СБ РФ
7010;Взнос наличных через АТМ (в своем тер.банке)
7011;Взнос наличных через АТМ
7014;Взнос наличных через АТМ (в своем ТБ) по счету в овердрафте
7015;Взнос наличных через АТМ (в других ТБ) по счету в овердрафте
7020;Взнос наличных через POS
7021;Взнос наличных через POS
7024;Взнос наличных через POS (в своем ТБ) по счету в овердрафте
7025;Взнос наличных через POS (в других ТБ) по счету в овердрафте
7030;Перевод на карту (с карты) через АТМ (в пределах одного тер.банка)
7031;Перевод на карту (с карты) через АТМ (из одного ТБ в другой ТБ)
7032;Перевод на карту (с карты) через АТМ (в пределах одного филиала)
7034;Перевод на карту/ с карты через АТМ (без взимания комиссии с отправителя) по счету в овердрафте
7035;Перевод на карту/ с карты через АТМ (со взиманием комиссии с отправителя) по счету в овердрафте
7040;Перевод на карту (с карты) через POS (в пределах одного тер.банка)
7041;Перевод на карту (с карты) через POS (из одного ТБ в другой ТБ)
7042;Перевод на карту (с карты) через POS (в пределах одного филиала)
7044;Перевод на карту/ с карты через POS (без взимания комиссии с отправителя) по счету в овердрафте
7045;Перевод на карту/ с карты через POS (со взиманием комиссии с отправителя) по счету в овердрафте
7050;Пополнение счета на сумму причисленных процентов
7060;Пополнение счета для погашения задолженности по карте
