Countries;Energy (kcal/day);Protein (g/day);Fats (g/day);Carbohydrates (g/day);Animal Products + (kcal/day);Animal Fats (kcal/day);Bovine Meat (kcal/day);Butter, Ghee (kcal/day);Cheese (kcal/day);Eggs (kcal/day);Fats, Animals, Raw (kcal/day);Fish, Seafood (kcal/day);Freshwater Fish (kcal/day);Honey (kcal/day);Meat (kcal/day);Milk - Excluding Butter (kcal/day);Milk, Whole (kcal/day);Mutton & Goat Meat (kcal/day);Offals, Edible (kcal/day);Pelagic Fish (kcal/day);Pigmeat (kcal/day);Poultry Meat (kcal/day);Vegetal Products + (kcal/day);Alcoholic Beverages (kcal/day);Apples (kcal/day);Bananas (kcal/day);Beans (kcal/day);Cereals - Excluding Beer (kcal/day);Coconut Oil (kcal/day);Coffee (kcal/day);Fruits - Excluding Wine (kcal/day);Nuts (kcal/day);Olive Oil (kcal/day);Palm Oil (kcal/day);Potatoes (kcal/day);Pulses (kcal/day);Rice (Milled Equivalent) (kcal/day);Rice (Paddy Equivalent) (kcal/day);Roots & Tuber Dry Equiv (kcal/day);Soyabean Oil (kcal/day);Starchy Roots (kcal/day);Sugar & Sweeteners (kcal/day);Sugar (Raw Equivalent) (kcal/day);Sugar, Raw Equivalent (kcal/day);Sugar, Refined Equiv (kcal/day);Vegetable Oils (kcal/day);Vegetables (kcal/day);Wheat (kcal/day);Wine (kcal/day);
Albania;2860;96;86;425.5;813;49;62;11;50;22;38;8;1;2;196;524;465;33;13;5;52;48;2059;35;17;11;28;1299;0;1;129;8;17;0;57;30;68;68;57;2;57;193;187;191;187;174;94;1166;6;
Argentina;2980;94;100;426;823;72;342;28;90;24;42;10;1;1;475;222;127;8;17;1;34;83;2135;102;26;19;1;1050;1;1;86;2;2;0;80;9;41;41;100;43;100;406;337;405;337;311;51;914;59;
Australia;3120;107;134;371.5;1033;124;142;62;107;23;61;30;3;8;492;331;172;97;30;7;107;143;2100;152;18;20;1;719;16;3;121;31;34;112;85;9;91;91;87;17;87;423;407;415;407;435;67;559;39;
Austria;3740;111;162;459.5;1219;320;59;102;193;49;200;21;6;12;488;336;131;6;2;9;358;60;2512;278;67;15;3;891;11;7;168;39;13;15;113;6;51;51;113;89;113;437;404;424;404;442;61;617;55;
Bangladesh;2200;48;25;445.75;65;5;5;3;0;3;2;19;17;0;12;22;21;3;1;0;0;3;2127;0;0;6;2;1802;5;0;13;2;0;52;36;40;1598;1598;42;48;42;59;29;59;29;131;10;180;0;
Belarus;2960;87;99;430.25;766;140;103;65;18;47;71;24;2;2;295;242;168;1;15;10;154;34;2118;108;31;3;0;1017;7;0;54;12;0;0;317;0;52;52;317;20;317;288;279;285;279;237;62;608;6;
Belgium;3640;92;162;453.5;1120;404;54;119;165;45;246;0;0;4;286;376;117;13;7;0;137;74;2513;204;21;1;6;783;78;8;72;47;29;61;151;19;43;43;151;112;151;522;488;517;488;545;124;718;54;
Bolivia;2220;57;58;367.5;397;73;113;1;6;11;72;4;1;0;247;47;36;14;12;2;49;66;1822;39;3;88;2;830;0;3;166;28;0;0;102;24;207;207;168;11;168;282;280;282;280;207;46;387;0;
Bosnia and Herzegovina;2710;72;58;475;344;24;32;10;36;13;12;7;1;2;84;206;162;5;7;4;29;17;2323;165;15;16;31;1278;0;3;75;12;1;0;134;46;12;12;134;9;134;251;237;249;237;153;107;529;3;
Brazil;3060;83;93;472.75;675;55;130;9;2;24;46;10;4;0;378;198;192;3;7;1;102;141;2470;73;4;53;162;995;0;2;112;2;2;20;28;165;371;371;129;251;129;550;529;549;529;321;29;388;2;
