movieID	location1	location2	location3	location4
1				
2	Canada	British Columbia		
2	Canada	British Columbia	Delta	
2	Canada	British Columbia	Delta	Tsawwassen
2	Canada	British Columbia	Maple Ridge	
2	Canada	British Columbia	Vancouver	
2	USA	Maine		
2	USA	Maine	Kennebunk	
2	USA	Maine	North Berwick	
2	USA	New Hampshire		
2	USA	New Hampshire	Keene	
2	USA	New Hampshire	Keene	Main Street
2	USA	New Hampshire	Swanzey	
3	USA	California	Burbank	Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard
3	USA	Minnesota	Center City	
3	USA	Minnesota	Chanhassen	Paisley Park
3	USA	Minnesota	Chanhassen	Paisley Park Studios - 7801 Audubon Road
3	USA	Minnesota	Faribault	
3	USA	Minnesota	Red Wing	
3	USA	Minnesota	Rockford	Lake Rebecca
3	USA	Minnesota	South St. Paul	Divine Redeemer Hospital - 724 19th Avenue N.
3	USA	Minnesota	St. Paul	Hyacinth Avenue E & Frank Street
3	USA	Minnesota	Stillwater	
4	USA	Arizona	Chandler	
4	USA	Arizona	Fountain Hills	
4	USA	Arizona	Paradise Valley	Hermosa Inn - 5532 N. Palo Cristi Road
4	USA	Arizona	Phoenix	
4	USA	Utah	Monument Valley	
5	USA	California	Altadena	
5	USA	California	Pasadena	
5	USA	California	Pasadena	843 S. El Molino Avenue
5	USA	California	Whittier	
6	USA	California	Beverly Hills	Kate Mantilini - 9101 Wilshire Boulevard
6	USA	California	El Segundo	Interstate 105
6	USA	California	Gardena	Metro Green Line, Marine/Redondo Station - 2406 Marine Avenue
6	USA	California	Long Beach	Harbor Place Tower - 525 E. Seaside Way
6	USA	California	Los Angeles	
6	USA	California	Los Angeles	444 S. Flower Street, Downtown
6	USA	California	Los Angeles	5th Street, Flower Street and Figueroa Street.
6	USA	California	Los Angeles	Angeleno Hotel - 170 N. Church Lane
6	USA	California	Los Angeles	Centinela Drive-In Theater - 5700 Centinela Avenue, Westchester
6	USA	California	Los Angeles	Far East Bank - 350 S. Grand Avenue
6	USA	California	Los Angeles	Los Angeles Airport Hilton and Towers - 5711 W. Century Blvd., Westchester
6	USA	California	Los Angeles	Los Angeles Harbor, San Pedro
6	USA	California	Los Angeles	Los Angeles International Airport - 1 World Way
6	USA	California	Los Angeles	San Pedro
6	USA	California	Los Angeles	Venice
6	USA	California	Los Angeles	Venice Blvd. and Interstate 110
6	USA	California	Los Angeles	Westin Bonaventure Hotel & Suites - 404 S. Figueroa Street, Downtown
6	USA	California	Malibu	
6	USA	California	Santa Monica	Pacific Ocean Park
6	USA	California	Santa Monica	Zenzero Restaurant - 1535 Ocean Avenue
7	USA	New York	Long Island	
7	USA	New York	Long Island	Glen Cove
8	USA	Alabama		
8	USA	Alabama	Decatur	
8	USA	Alabama	Huntsville	
8	USA	Alabama	Mooresville	
9	USA	New York	Middletown	Galleria Mall
9	USA	Pennsylvania	Pittsburgh	
9	USA	Pennsylvania	Pittsburgh	600 Grant Street
9	USA	Pennsylvania	Pittsburgh	Mellon Arena - 66 Mario Lemieux Place
9	USA	Pennsylvania	Pittsburgh	Mount Washington
9	USA	Pennsylvania	Pittsburgh	Station Square - 100 W. Station Square Drive
10	France			
10	France	Alpes-Maritimes		
10	France	Alpes-Maritimes	French Riviera	
10	France	Alpes-Maritimes	Grand Corniche	
10	France	Alpes-Maritimes	Grasse	
10	France	Alpes-Maritimes	Greolieres	
10	France	Alpes-Maritimes	Greolieres-les-neiges	
10	France	Bouches-du-Rhône		
10	France	Bouches-du-Rhône	Thorenc	
10	Monaco			
10	Monaco	Monte Carlo		
10	Monaco	Monte Carlo	Casino Square	
10	Monaco	Monte Carlo	Casino de Monte Carlo	
10	Monaco	Monte Carlo	Monaco-Ville	
10	Monaco	Monte Carlo	Monaco-Ville	Fort Antoine
10	Monaco	Monte Carlo	Monaco-Ville	Rooftop Theatre, Fort Antoine
10	Monaco	Monte Carlo	Monte Carlo Bay	
10	Monaco	Monte Carlo	Monte Carlo Bay Hotel and Resort - 40 Avenue Princesse Grace	
10	Monaco	Monte Carlo	Place du Casino	Hotel de Paris
10	Puerto Rico			
10	Puerto Rico	Arecibo		
10	Puerto Rico	Arecibo	Arecibo Observatory	
10	Puerto Rico	Coast		
10	Puerto Rico	Manatí		
10	Puerto Rico	Manatí	Laguna Tortuguero Beach	
10	Puerto Rico	Vega Baja		
10	Puerto Rico	Vega Baja	Ciénaga de Cibuco Farm	
10	Russia			
10	Russia	St. Petersburg		
10	Russia	St. Petersburg	Admiralteysky	
10	Russia	St. Petersburg	Admiralteysky	Bronze Horseman
10	Russia	St. Petersburg	Decembrists Square	
10	Russia	St. Petersburg	Dvortsovaya Square	
10	Russia	St. Petersburg	Hermitage	
10	Russia	St. Petersburg	Moika Canal	
10	Russia	St. Petersburg	Moika Embankment	
10	Russia	St. Petersburg	Neva Embankment	
10	Russia	St. Petersburg	Neva River	
10	Russia	St. Petersburg	Nevsky Prospekt	
10	Russia	St. Petersburg	St. Isaacs Cathedral	
10	Russia	St. Petersburg	The General Staff Building	
10	Russia	St. Petersburg	Vasilevsky Island	
10	Russia	St. Petersburg	Zoological Museum	
10	Switzerland			
10	Switzerland	Cantone Ticino		
10	Switzerland	Cantone Ticino	Verzasca Dam	
