price,mileage,year,trim,engine,transmission
14995,67697,2006,ex,4 Cyl,Manual
11988,73738,2006,ex,4 Cyl,Manual
11999,80313,2006,lx,4 Cyl,Automatic
12995,86096,2006,lx,4 Cyl,Automatic
11333,79607,2006,lx,4 Cyl,Automatic
10067,96966,2006,lx,4 Cyl,Automatic
8999,126150,2006,lx,4 Cyl,Automatic
10595,119255,2006,lx,4 Cyl,Automatic
13988,73513,2006,exl,4 Cyl,Automatic
13990,50649,2006,ex,4 Cyl,Automatic
12998,90000,2006,ex,4 Cyl,Automatic
10975,114340,2006,lx,6 Cyl,Automatic
12989,75270,2006,lx,6 Cyl,Automatic
14590,54685,2006,ex,6 Cyl,Automatic
16120,68480,2006,ex,6 Cyl,Automatic
9880,107290,2006,ex,6 Cyl,Automatic
12991,39144,2006,lx,4 Cyl,Manual
13495,42893,2006,lx,4 Cyl,Automatic
11495,103650,2006,lx,4 Cyl,Automatic
12000,59100,2006,lx,4 Cyl,Automatic
12000,96404,2006,lx,4 Cyl,Automatic
14900,59466,2006,ex,4 Cyl,Automatic
10499,89692,2006,exl,4 Cyl,Automatic
11680,91486,2006,ex,4 Cyl,Automatic
12950,90256,2006,ex,4 Cyl,Automatic
13681,85976,2006,ex,4 Cyl,Automatic
10694,103833,2006,ex,4 Cyl,Automatic
15991,37378,2006,ex,4 Cyl,Automatic
13995,45414,2006,lx,6 Cyl,Automatic
11999,108590,2006,ex,6 Cyl,Automatic
9995,121435,2006,ex,6 Cyl,Automatic
11995,99904,2006,ex,6 Cyl,Automatic
9968,121896,2006,ex,6 Cyl,Automatic
13475,70193,2006,ex,6 Cyl,Automatic
13900,103927,2006,ex,6 Cyl,Automatic
13995,34216,2006,ex,6 Cyl,Automatic
10888,135766,2006,lx,4 Cyl,Automatic
12995,89350,2006,lx,4 Cyl,Automatic
8999,133721,2006,lx,4 Cyl,Automatic
10692,109034,2006,ex,4 Cyl,Automatic
7995,143581,2006,lx,4 Cyl,Automatic
9998,90757,2006,lx,4 Cyl,Automatic
12999,93566,2006,lx,4 Cyl,Automatic
12791,86005,2006,exl,4 Cyl,Manual
13420,61490,2006,lx,4 Cyl,Automatic
9488,98691,2006,lx,4 Cyl,Automatic
13250,60433,2006,exl,4 Cyl,Automatic
10642,93862,2006,ex,4 Cyl,Automatic
13999,74405,2006,ex,4 Cyl,Automatic
12599,95400,2006,ex,4 Cyl,Automatic
11995,93193,2006,ex,4 Cyl,Automatic
12595,70777,2006,ex,4 Cyl,Automatic
8495,140130,2006,ex,6 Cyl,Manual
12950,95213,2006,ex,6 Cyl,Manual
9994,141810,2006,lx,6 Cyl,Automatic
8991,106405,2006,ex,6 Cyl,Automatic
12736,55592,2006,ex,6 Cyl,Automatic
15995,42527,2006,ex,6 Cyl,Automatic
15991,54198,2006,ex,6 Cyl,Automatic
9692,97479,2006,lx,4 Cyl,Automatic
9488,127520,2006,ex,4 Cyl,Automatic
12495,92731,2006,ex,4 Cyl,Automatic
12482,77347,2006,ex,4 Cyl,Automatic
11900,83884,2006,ex,4 Cyl,Automatic
11757,82778,2006,lx,6 Cyl,Automatic
9878,118646,2006,lx,6 Cyl,Automatic
11988,91420,2006,ex,6 Cyl,Automatic
11995,128351,2006,ex,6 Cyl,Automatic
10988,85773,2006,ex,6 Cyl,Automatic
13637,87453,2006,ex,6 Cyl,Automatic
14888,61059,2006,ex,6 Cyl,Automatic
11995,93841,2006,ex,6 Cyl,Automatic
7900,130933,2006,lx,4 Cyl,Manual
11037,73301,2006,lx,4 Cyl,Automatic
12413,77635,2006,lx,4 Cyl,Automatic
15995,66678,2006,ex,4 Cyl,Automatic
