ЏЋ‹…	ЋЏ€‘ЂЌ€…
AGREEMENT_RK	уникальный идентификатор объекта в выборке
TARGET	целеваЯ переменнаЯ:отклик на маркетинговую кампанию (1 - отклик был зарегистрирован, 0 - отклика не было)
AGE	возраст клиента
SOCSTATUS_WORK_FL	социальный статус клиента относительно работы (1 - работает, 0 - не работает)
SOCSTATUS_PENS_FL	социальный статус клиента относительно пенсии (1 - пенсионер, 0 - не пенсионер)
GENDER	пол клиента
CHILD_TOTAL	количество детей клиента
DEPENDANTS	количество иждивенцев клиента
EDUCATION	образование
MARITAL_STATUS	семейное положение
GEN_INDUSTRY	отрасль работы клиента
GEN_TITLE	должность
ORG_TP_STATE	форма собственности компании
ORG_TP_FCAPITAL	отношение к иностранному капиталу
JOB_DIR	направление деЯтельности в нутри компании
FAMILY_INCOME	семейный доход (несколько категорий)
PERSONAL_INCOME	личный доход клиента (в рублЯх)
REG_ADDRESS_PROVINCE	область регистрации клиента
FACT_ADDRESS_PROVINCE	область фактического пребываниЯ клиента
POSTAL_ADDRESS_PROVINCE	почтовый адрес область
TP_PROVINCE	область торговой точки, где клиент брал последний кредит
REGION_NM	регион ђ”
REG_FACT_FL	адрес регистрации и адрес фактического пребываниЯ клиента совпадают(1 - совпадает, 0 - не совпадает)
FACT_POST_FL	адрес фактического пребываниЯ клиента и его почтовый адрес совпадают(1 - совпадает, 0 - не совпадает)
REG_POST_FL	адрес регистрации клиента и его почтовый адрес совпадают(1 - совпадает, 0 - не совпадает)
REG_FACT_POST_FL	почтовый, фактический и адрес регистрации совпадают (1 - совпадают, 0 - не совпадают)
REG_FACT_POST_TP_FL	область регистрации, фактического пребываниЯ, почтового адреса и область расположениЯ торговой точки, где клиент брал кредит совпадают (1 - совпадают, 0 - не совпадают)
FL_PRESENCE_FL	наличие в собственности квартиры (1 - есть, 0 - нет)
OWN_AUTO	кол-во автомобилей в собственности 
AUTO_RUS_FL	наличие в собственности автомобилЯ российского производства ( 1 - есть, 0 - нет)
HS_PRESENCE_FL	наличие в собственности загородного дома (1 - есть, 0 - нет)
COT_PRESENCE_FL	наличие в собственности котеджа (1 - есть, 0 - нет)
GAR_PRESENCE_FL	наличие в собственности гаража (1 - есть, 0 - нет)
LAND_PRESENCE_FL	наличие в собственности земельного участка (1 - есть, 0 - нет)
CREDIT	сумма последнего кредита клиента (в рублЯх)
TERM	срок кредита
FST_PAYMENT	первоначальный взнос (в рублЯх)
DL_DOCUMENT_FL	в анкете клиент указал водительское удостоверение (1 - указал, 0 - не указал)
GPF_DOCUMENT_FL	в анкете клиен указал ѓЏ” (1 - указал, 0 - не указал)
FACT_LIVING_TERM	количество месЯцев проживаниЯ по месту фактического пребываниЯ
WORK_TIME	времЯ работы на текущем месте (в месЯцах)
FACT_PHONE_FL	наличие в заЯвке телефона по фактическому месту пребываниЯ
REG_PHONE_FL	наличие в заЯвке телефона по месту регистрации
GEN_PHONE_FL	наличие в заЯвке рабочего телефона
LOAN_NUM_TOTAL	количество ссуд клиента
LOAN_NUM_CLOSED	количество погашенных ссуд клиента
LOAN_NUM_PAYM	количество платежей, которые сделал клиент
LOAN_DLQ_NUM	количество просрочек, допущенных клиентом
LOAN_MAX_DLQ	номер максимальной просрочки, допущенной клиентом
LOAN_AVG_DLQ_AMT	среднЯЯ сумма просрочки (в рублЯх)
LOAN_MAX_DLQ_AMT	максимальнаЯ сумма просрочки (в рублЯх)
PREVIOUS_CARD_NUM_UTILIZED	количество уже утилизированных карт ( если пусто - 0) 
