maxPlayerLevel;numberOfAttemptedLevels;attemptsOnTheHighestLevel;totalNumOfAttempts;averageNumOfTurnsPerCompletedLevel;doReturnOnLowerLevels;numberOfBoostersUsed;fractionOfUsefullBoosters;totalScore;totalBonusScore;totalStarsCount;numberOfDaysActuallyPlayed
39;10;3;17;24.4444444444;1;5;0.4;2650000;1375;21;2
21;22;19;55;17.0454545455;1;6;0.3333333333;5614000;3825;51;4
5;6;1;6;8.4;0;1;1;857000;1150;14;1
21;2;5;6;19;0;1;0;120000;0;1;1
4;5;1;5;9.6;0;1;1;857000;1075;12;1
0;1;1;1;3;0;0;0;113000;250;0;1
13;14;2;19;15.5;0;5;0.8;3831000;2875;34;2
13;14;5;26;14.7692307692;0;4;0.5;3458000;2375;31;2
2;3;1;3;7.6666666667;0;0;0;420000;750;6;1
1;2;3;5;3;1;0;0;113000;250;3;1
9;10;1;10;13.7777777778;0;3;1;1641000;1675;21;2
93;16;15;91;22.1875;1;11;0.3636363636;2769000;2425;35;12
1;2;1;2;3.5;0;0;0;238000;500;3;1
4;5;1;5;8.6;0;1;1;888000;1150;12;1
13;14;2;17;14.5384615385;0;5;0.6;3674000;2525;34;2
8;9;1;12;12;0;3;1;1945000;1625;20;2
36;3;1;5;26.3333333333;0;3;0.6666666667;758000;650;5;2
5;6;5;10;9.6;0;1;1;881000;1150;14;1
58;7;10;61;18.7142857143;1;6;0.3333333333;1104000;625;10;9
1;2;1;2;4.5;0;0;0;326000;500;3;1
1;2;1;2;4.5;0;0;0;238000;500;3;1
17;18;1;21;15.3529411765;0;3;1;4670000;3350;44;3
54;22;2;90;22.6666666667;0;16;0.375;3812000;3100;40;9
11;12;1;12;14.9166666667;0;4;1;3009000;2450;29;2
0;1;1;1;3;0;0;0;125000;250;0;1
6;7;2;8;10.7142857143;0;3;0.6666666667;1152000;1300;15;1
0;1;1;1;3;0;0;0;113000;250;0;1
25;26;8;39;17.12;0;12;0.6666666667;5870000;4200;57;1
6;7;1;7;11;0;2;1;1772000;1550;17;1
10;11;5;16;13.9;0;4;0.5;1787000;1600;23;2
44;45;1;90;19.1363636364;0;16;0.6875;11289000;7725;103;10
50;51;28;150;19.42;0;17;0.7647058824;12230000;8300;108;9
13;8;1;8;16.5714285714;1;4;0.75;1617000;1150;18;1
0;1;1;1;3;0;0;0;113000;250;0;1
6;7;1;7;10.4285714286;0;2;1;1523000;1475;17;1
